id,name,data_type,category,building,floor,longitude,latitude,coordinate_system,open_time,close_time,description,collector,updated_at,notes
study_001,基础图书馆,poi,library,基础图书馆,/,120.0843,30.30728,GCJ-02,8:00,22:30,东区核心图书馆，大量自习座位，需预约,grz,2026/6/13,除二楼外不能刷夜
study_002,主图书馆,poi,library,主图书馆,/,120.0761,30.30471,GCJ-02,9:00,22:30,紫金港主图书馆，安静学习环境,grz,2026/6/13,不可刷夜
study_003,方闻图书馆,poi,library,方闻图书馆,/,120.06785,30.30024,GCJ-02,8:30,22:30,西区图书馆，艺术与人文类藏书丰富,grz,2026/6/13,不可刷夜
study_004,人文古籍图书馆,poi,library,古籍馆,/,120.07492,30.29958,GCJ-02,9:00,17:00,古籍特藏与人文社科阅览室,grz,2026/6/13,不可刷夜
study_005,东教1-B，1楼自习室,poi,classroom,东一教学楼,1,120.08515,30.30348,GCJ-02,7:00,23:00,小教室，有格挡，座位宽敞,grz,2026/6/13,不可刷夜
study_006,北教学楼1号楼一楼自习区,poi,classroom,北一教学楼,1,120.07285,30.30818,GCJ-02,7:00,22:30,教室自习区，插座较多,grz,2026/6/13,不可刷夜
study_007,西教学区连廊自习区,poi,public,西教学楼,/,120.08095,30.30548,GCJ-02,7:00,22:00,安静连廊，适合静读，座位较硬,grz,2026/6/13,不可刷夜
study_008,星巴克（浙大银泉店）,poi,cafe,星巴克,1,120.07848,30.30622,GCJ-02,7:30,22:00,校内商业街附近，适合小组讨论,grz,2026/6/13,不可刷夜
study_009,瑞幸咖啡（浙大紫金港北街店）,poi,cafe,白沙综合楼,2,120.07198,30.30952,GCJ-02,8:00,21:00,人来人往，适合小组讨论,grz,2026/6/13,不可刷夜
study_010,北街咖啡,poi,cafe,北街商业街,1,120.07155,30.30985,GCJ-02,0:00,0:00,北街刷夜自习空间，消费自习,grz,2026/6/13,消费可刷夜
study_011,尧坤楼自习区,poi,public,尧坤楼,/,120.0683,30.30178,GCJ-02,8:00,22:00,行政楼内开放自习区域,grz,2026/6/13,不可刷夜
study_012,月牙楼地下一层自习室,poi,public,月牙楼,B1,120.0818,30.30715,GCJ-02,7:00,23:30,地标建筑内自习室,grz,2026/6/13,不可刷夜
study_013,安中大楼自习区,poi,public,安中大楼,2,120.07838,30.30601,GCJ-02,8:00,22:00,建筑学院附近安静区域,grz,2026/6/13,不可刷夜
study_014,全家便利店（丹青店）,poi,public,全家便利店,1,120.07185,30.30925,GCJ-02,0:00,23:59,24小时便利店，少量座位,grz,2026/6/13,可刷夜
study_015,东教启真湖畔户外自习区,poi,public,东一教学楼,1,120.08308,30.30701,GCJ-02,0:00,0:00,户外桌椅，适合天气好时学习,grz,2026/6/13,夜间没灯，不建议刷夜
study_016,麦斯威咖啡（东二教学楼）,poi,cafe,东二教学楼,1+2,120.08445,30.3074,GCJ-02,8:00,21:30,校内咖啡简餐，靠近基础图书馆,grz,2026/6/13,不可刷夜
study_017,麦斯威咖啡（青溪点）,poi,cafe,青溪学园,1,120.0862,30.3056,GCJ-02,9:00,22:00,宿舍区内安静咖啡吧,grz,2026/6/13,不可刷夜
study_018,蓝田自习室,poi,study_room,蓝田学园,1,120.0825,30.3102,GCJ-02,7:00,23:00,宿舍区内自习室，方便住宿学生,grz,2026/6/13,不可刷夜
study_019,紫云自习室,poi,study_room,紫云学园,1,120.0838,30.3108,GCJ-02,7:00,23:00,宿舍区内自习室,grz,2026/6/13,不可刷夜
study_020,白沙综合楼自习区,poi,study_room,白沙综合楼,1+2,120.0815,30.3112,GCJ-02,8:00,22:30,白沙邮局楼上，安静,grz,2026/6/13,不可刷夜
